number,title,state,created at,closed at,user,labels,description,day of week,month,year
50808,Add example to modules_for_helpers documentation [ci-skip],closed,2024-01-19 11:23:44+00:00,2024-01-19 15:59:37+00:00,m-nakamura145,['actionpack'],submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50807,Undocumented - validations enabled by autosave,open,2024-01-19 10:47:52+00:00,,semaperepelitsa,['docs'],valid enabl default autosav true belongson foo autosav true http http,4,1,2024
50806,Link to framework main page instead of README in API docs [ci-skip],closed,2024-01-19 10:35:07+00:00,2024-01-29 17:50:41+00:00,p8,['railties'],rail readm shown homepag http link differ framework howev link link framework readm instead framework main page result page miss link framework method namespac exampl click actionview result follow page miss navig method namespac http link framework main page navig present http readm file includ doc directori probabl remov gener doc content readm alreadi inlin framework homepag submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50805,"Update CHANGELOG.md, fixing a spelling error",closed,2024-01-19 09:52:31+00:00,2024-01-19 11:57:55+00:00,mattrayner,['activemodel'],fix spell error pull request creat replac pull request chang replac submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50804,[Fix #50803] Consistently raise an `ArgumentError` when passing an invalid argument to a nested attributes association writer,closed,2024-01-19 09:47:03+00:00,2024-01-19 12:29:01+00:00,joshuay03,['activerecord'],fix updat http also make slight improv exist error collect associ none submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50803,Passing an invalid argument when assigning nested attributes only raises an `ArgumentError` for collection associations,closed,2024-01-19 09:43:45+00:00,2024-01-19 12:29:03+00:00,joshuay03,[],rubi requir gemfil true sourc http gitrecord requir requir logger activerecord post forc true end createid end end class post activerecord hascom order id desc classmani comment acceptsattributescom acceptsattributesto post end class bugtest minitest fail throw nomethoderror undefin method withaccess foo string def testnestedforassociationinvalidrais argumenterror lastattribut foo end end pass def testnestedforassociationinvalidrais argumenterror foo string singular associ edg,4,1,2024
50802,Deadlock occurs in zeitwerk,closed,2024-01-19 07:51:17+00:00,2024-01-22 14:34:22+00:00,alpaca-tc,[],follow two class caus deadlock thread load differ thread occur develop environ sampl applic http rubi modul first second end modul second first end end def second second head nointerlockrequir zeitwerk howev sinc api zeitwerk hook know acquir lock classic autoload took exclus lock problem occur http rail version main rubi version rubi revis e51014f9c0 guess probabl occur version use zeitwerk occur classic autoload issu http,4,1,2024
50801,Clarification on button_to Default Behavior in Rails 7.0,closed,2024-01-19 07:24:36+00:00,2024-01-26 22:40:09+00:00,yin0110,[],hello updat rail notic chang buttonto use patch persist activ record object contrast rail api document indic post default could clarifi behavior specif condit buttonto class without set method expect behavior expect behavior would patch document said actual behavior got post instead rail api document said system configur rail version thank,4,1,2024
50800,Fix ActiveStorage::Blob inverse association:,closed,2024-01-19 03:15:19+00:00,2024-01-21 08:17:06+00:00,Edouard-chin,['activestorage'],fix need unblock http activ storag reli activ record bug problem best understood small snippet rubi blob activestorag activestorag blob blob activestorag blob blob p activerecord p activerecord activestorag id nil name nil recordid nil blobat nil activestorag id nil name nil recordid nil blobat nil real code path snippet locat http behav 50284 ship add test test suit alreadi well cover ad submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50799,Fix `bin/rails -T` when no default task is defined,closed,2024-01-19 00:11:33+00:00,2024-01-19 00:43:18+00:00,jonathanhefner,"['railties', 'docs']",rake pars argument string task set task default prior commit default task defin exampl app gener defin default task would rais prevent rake display task list commit chang let rake handl default task fix 50700,4,1,2024
50798,Print `bin/rails` help on unrecognized bare options,closed,2024-01-18 23:57:15+00:00,2024-01-19 00:10:23+00:00,jonathanhefner,['railties'],prior commit would pass unrecogn bare option rake consol rail rake version run 0 test singl process parallel threshold 50 invalid option commit chang print help messag given unrecogn bare option consol rail usag command option must specifi command common command usag command option must specifi command common command usag command option must specifi command common command howev backward compat except made option consol print list rake task address 50712,3,1,2024
50797,Implement `Object#absence_in` ActiveSupport core extension method,closed,2024-01-18 23:44:48+00:00,2024-01-19 10:10:13+00:00,viralpraxis,['activesupport'],method use check absenc blacklist exist method object presencetitl param pagein w photo video photo end howev sometim sometim import check absenc blacklist rather whilelist inclus rubi def pagetitl activesupport core extens x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50796,Add customized prompt for Rails console,closed,2024-01-18 23:00:43+00:00,2024-01-19 19:11:51+00:00,st0012,['railties'],2 follow pr result prompt look like instead discuss 50770 rail consol prompt easili distinguish normal irb consol also provid inform assist develop close 50770 submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50794,[Tests only] Expand trigger populated PK test case to run against more DBs,closed,2024-01-18 17:27:12+00:00,2024-01-18 18:17:01+00:00,nvasilevski,['activerecord'],http realiz unnecessarili limit one test postgresql fix applic databas support statement sadli could come proper setup sqlite sinc look like way updat record column insert trigger someon idea setup sqlite trigger gener column valu insert test case test sqlite technic mean test mariadb addit postgresql,3,1,2024
50793,PoC: Add an option to disable connection checkout caching,open,2024-01-18 16:54:17+00:00,,byroot,['activerecord'],part perform simplic reason part histor lack thread support activ record reli quit heavili check hold connect insid thread fiber local variabl concretli everi request job lazili checkout connect need perform databas oper hold onto request job complet point hook automat check back pool overwhelm major rail applic enough io benefit hand thread perfectli adequ solut pretti much remov connect manag concern howev applic spent time io other databas 3rd parti api would benefit much higher level concurr strategi problemat requir mani databas connect thread fiber even though connect idl ca use check pool held anoth thead fiber believ current model still prefer vast major rail user chang way behav would break ton code anyway believ remain default howev think could support altern mode hold onto connect end request cycl instead immedi check back allow immedi first noth chang unless disabl sinc lot code rail third parti librari privat rail applic reli must make work without cach connect solv cach disabl return proxi object deleg method receiv freshli check connect check back see call optim mostli perform concern fundament incompat one major concern queri cach stand pretti much useless checkout cach disabl check connect back clear cach pretti much alway empti make usabl need substanti refactor first glanc look possibl trivial bit fenc think make work alreadi spent one day proof concept would need substanti work iron issu actual code chang need activ record rel small realli test suit 3rd parti code would need updat properli work option big worm worri,3,1,2024
50792,`app:update` from Rails 7.1.2 to 7.1.3 creates `new_framework_defaults_7_1.rb`,open,2024-01-18 16:15:11+00:00,,GitToTheHub,['railties'],made updat rail chang rail version number gemfil run ran produc file alreadi alreadi present file creat despit alreadi present rubi revis e51014f9c0,3,1,2024
50791,Add Solid Queue reference to Rails Guides docs [ci skip],closed,2024-01-18 15:00:54+00:00,2024-01-18 16:59:43+00:00,dvinciguerra,['docs'],includ refer solid queue project rail guid document use especi exclus new develop allow becom familiar project function decid whether want use project like suggest adapt pull request simpli add refer link project readm rail guid document section dedic configur adapt submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50790,"ActiveRecord::NotNullViolation (PG::NotNullViolation: ERROR:  null value in column ""record_id"" of relation ""active_storage_attachments"" violates not-null constraint",closed,2024-01-18 13:11:04+00:00,2024-01-22 09:41:20+00:00,raoehtesham03,"['activestorage', 'more-information-needed']",upgrad rail applic get error file rubi activestorag def hasattach name depend purgeassociationev 1 def name activeattach activeattach name activestorag name self depend depend purgelat fals acl acl end def name attach attachmentlat purgelat purgeon name name activestorag record inverseon name attach classattachedattach blob afterchang creat updat attach upload activerecord self name activerecord hasattach name nil depend depend acl acl self end def hasattach name depend purgeassociationev 1 def name activeattach activeattach name activestorag name self depend depend purgelat fals acl acl end def name attach attachmentlat purgechang name activestorag name self name attach depend depend purgelat fals acl acl end end end code hasattach name name record classof record depend destroy def purg purg reset end def purgelat reset end end hasblob name name activestorag sourc blob scope name includ name save attach relat activeattach violat constraint,3,1,2024
50789,Use relative includes of README's in documentation [ci-skip],closed,2024-01-18 09:34:54+00:00,2024-01-21 17:30:07+00:00,p8,"['actionmailer', 'activemodel', 'activerecord', 'activesupport', 'railties', 'actionview', 'activejob', 'actioncable', 'activestorage', 'actionmailbox', 'actiontext']",rail document use direct inlin readm framework main document page readm root directori sdoc run need add framework path includ includ result warn instal gem gener rdoc gem run root could find file includ rdoc direct support includ rel current file well includ make sure work rail api doc separ gem fix http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50788,`RateLimiting` Cleanups,closed,2024-01-18 09:12:50+00:00,2024-01-18 16:54:44+00:00,casperisfine,"['actionpack', 'activesupport']",followup http small issu fail address origin pr,3,1,2024
50787,[7-1-stable] Fix Active Storage test configurations for CI,closed,2024-01-18 03:54:05+00:00,2024-01-18 17:03:28+00:00,zzak,['activestorage'],resubmiss 50786 upstream branch test integr secret avail fork investig 50427 found servic configur miss think due expect s3 gc test run like http skip azur storag direct upload test azur storag configur suppli skip azur storag public servic test azur configur suppli skip azur storag servic test azur configur suppli skip gc public servic test gc configur suppli warn attribut accessor warn method redefin discard old client skip s3 public servic test s3 configur suppli warn assign unus variabl prefix howev see build pr servic skip http skip s3 direct upload test s3 configur suppli skip gc direct upload test gc configur suppli skip azur storag direct upload test azur storag configur suppli skip azur storag public servic test azur configur suppli skip azur storag servic test azur configur suppli skip gc public servic test gc configur suppli skip gc servic test gc configur suppli skip s3 public servic test s3 configur suppli skip s3 servic test s3 configur suppli abl find previou build branch older go hunch go see least get test run ci branch first sinc work remov dummi applic probabl go backport,3,1,2024
50786,[7-1-stable] Try to fix Active Storage test configurations for CI,closed,2024-01-18 02:27:18+00:00,2024-01-18 03:52:40+00:00,zzak,['activestorage'],investig 50427 found servic configur miss think due expect s3 gc test run like http skip azur storag direct upload test azur storag configur suppli skip azur storag public servic test azur configur suppli skip azur storag servic test azur configur suppli skip gc public servic test gc configur suppli warn attribut accessor warn method redefin discard old client skip s3 public servic test s3 configur suppli warn assign unus variabl prefix howev see build pr servic skip http skip s3 direct upload test s3 configur suppli skip gc direct upload test gc configur suppli skip azur storag direct upload test azur storag configur suppli skip azur storag public servic test azur configur suppli skip azur storag servic test azur configur suppli skip gc public servic test gc configur suppli skip gc servic test gc configur suppli skip s3 public servic test s3 configur suppli skip s3 servic test s3 configur suppli abl find previou build branch older go hunch go see least get test run ci branch first sinc work remov dummi applic probabl go backport,3,1,2024
50785,Add note about `params` hash in Action Controller Overview [ci skip] ,open,2024-01-18 01:26:00+00:00,,JunichiIto,['docs'],newbi tend misunderstand hash plain old hash ad note hash actioncontrol pull request chang 4 paramet action control overview submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50784,rails routes --unused error for nil controllers,closed,2024-01-17 22:02:05+00:00,2024-01-26 21:41:56+00:00,jacquesn,[],know reproduc one describ run rais controllermiss actionmiss end comment applic rout still get problem guess problem rout come gem someth particular rail configur one bad rout instanc give instanc,2,1,2024
50783,Always request `primary_key` in `RETURNING` if no other columns requested,closed,2024-01-17 17:49:36+00:00,2024-01-18 16:45:40+00:00,nvasilevski,['activerecord'],potenti substitut http address http address http prior rail alway includ chang bring back old behavior alway request claus column request ad two separ test cover report scenario,2,1,2024
50782,Rails 7.x after_destroy not triggered when a before_create on associated model is defined,closed,2024-01-17 16:26:16+00:00,2024-01-21 22:10:08+00:00,devsheva,[],prerequisit rubi orderitem 100 associ hasitem depend destroy autosav true enum enum statu expir 5 event expir orderitem rais error 422 maximum order item reach end end end deleg checkorderreach order associ belongsto item polymorph true option true beforemaxitemsdestroy destroyrecord end trigger afterdestroy orderitem model ad callback,2,1,2024
50781,Refactor `ActionController::RateLimiting` to use `AS::Cache`,closed,2024-01-17 14:32:07+00:00,2024-01-17 16:49:27+00:00,casperisfine,"['actionpack', 'activesupport']",given limit implement provid kredi simpl increment limit alreadi provid capabl wide rang back store redi even allow use solidcach backend desir feel particularli fanci could also accept gener limit interfac better allow user swap implement better algorithm etc fyi dhh rafaelfranca,2,1,2024
50780,Preserve `--asset-pipeline propshaft` when running `app:update`,open,2024-01-17 12:02:43+00:00,,zachasme,['railties'],pull request creat base whether railti defin without chang suggest inject sprocket configur propshaft project,2,1,2024
50779,Fix `ActiveSupport::Notifications.publish_event` to preserve units,closed,2024-01-17 11:57:03+00:00,2024-01-17 12:07:32+00:00,casperisfine,['activesupport'],ref http fix http fix http republish event tupl need convert timestamp back second cc fatkodima rporrasluc backport,2,1,2024
50778,Fix async queries to work with query cache and other cached async queries,closed,2024-01-17 09:46:01+00:00,2024-01-17 19:44:39+00:00,fatkodima,['activerecord'],fix 50776,2,1,2024
50777,rails server无法启动服务,closed,2024-01-17 09:25:26+00:00,2024-01-17 09:30:27+00:00,wwh131,[],rail new blog cd blog rail server usag rail new apppipelin choos asset pipelin option sprocket default propshaft default sprocket skip javascript file skip hotwir integr skip jbuilder gem skip test file skip system test file skip bootsnap gem skip develop gem dev set applic gemfil point rail checkout edg set applic gemfil point branch rail repositori master main set applic gemfil point rail repositori main branch path file contain extra configur option rail command skip load extra configur option file api preconfigur smaller stack api app default fals minim preconfigur minim rail app js choos javascript approach option importmap default bun webpack esbuild rollup default importmap choos css processor option tailwind bootstrap bulma postcss sass check http option run bundl instal configur git show decrypt diff encrypt credenti runtim option forc overwrit file alreadi exist pretend run make chang quiet suppress statu output skip skip file alreadi exist rail option help show help messag quit version show rail version number quit descript command creat new rail applic default directori structur configur path specifi specifi extra argument use everi time run configur file home directori xdghome set note argument specifi file affect default valu shown help messag specifi version use creat new rail applic use exampl gener new rail app gener new rail app provid version gener new rail app api mode gener new rail app without action mailer part rail skip app gener,2,1,2024
50776,Rails 7.1.3: async_count returns a completed Promise instead of the value,closed,2024-01-17 02:10:06+00:00,2024-01-17 19:44:40+00:00,guillaumebriday,"['activerecord', 'With reproduction steps']",follow issu http updat applic rail ping fatkodima need use get actual valu instead,2,1,2024
50775,Fix threading issue with strict locals,closed,2024-01-17 00:29:20+00:00,2024-01-18 16:57:25+00:00,mockdeep,['actionview'],fix 50774 server boot 2 thread hit instanc set thread get past check set yet howev one thread wait one proce set frozen hash second thread get write lock tri modifi frozen,2,1,2024
50774,Threading issue with strict locals in ActionView,closed,2024-01-17 00:20:41+00:00,2024-01-18 16:57:26+00:00,mockdeep,"['actionview', 'attached PR']",see occasion error boot applic come templat strict local enabl super common happen applic load frozenerror ca modifi frozen hash one thread wait one proce set frozen hash second thread get write lock tri modifi frozen look like might make sens move bit case prevent subsequ thread tri modifi hash bit tricki reproduc think could put bind two process tri access templat first time could exit bind one process caus error rais error templat load strict local use get error mani deploy server boot,2,1,2024
50773,Fix t.references validating options on Rails < 7.1,closed,2024-01-16 22:21:53+00:00,2024-01-16 23:09:33+00:00,skipkayhil,"['activerecord', 'needs backport']",option valid ad 1 migrat class compat layer ad ensur previou migrat version option valid howev method miss compat layer result pre migrat valid option pass commit fix issu ad compat layer see also similar fix 2 1 http 2 http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50772,Tests can't run without yarn,open,2024-01-16 21:11:58+00:00,,arusa,['railties'],alway run tri compil asset therefor crash default dockerfil keep yarn imag want option skip run run test,1,1,2024
50771,Merge pull request #50758 from rails/fix-video-preview-nplus1,closed,2024-01-16 19:20:45+00:00,2024-01-16 19:41:54+00:00,tenderlove,"['railties', 'activestorage']",backport activ storag bugfix,1,1,2024
50770,Request: rename Rails console as irr or something other than irb,closed,2024-01-16 17:57:38+00:00,2024-01-19 19:11:52+00:00,MtnBiker,"['railties', 'attached PR']",mayb right place post confus prompt irb rail consol,1,1,2024
50769,Use `includes` instead of `eager_load` for `with_all_rich_text`,closed,2024-01-16 17:51:45+00:00,2024-01-16 23:28:38+00:00,p8,['actiontext'],x pull request relat one chang chang unrel open separ pr x test ad updat fix bug add featur,1,1,2024
50768,The `counter_cache_column?` method is depending of initialisation order.,open,2024-01-16 15:54:58+00:00,,BuonOmo,['activerecord'],rubi requir gemfil true sourc http gem rail github branch main gem sqlite3 end requir activeconnect adapt sqlite3 databas memori activerecord stdout activerecord createcount default 0 end createto person end end class car activerecord belongscach true end class person activerecord hascountercolumn assert carsnot carscount counter cach column sinc initi afterward run column ad return sure solv rais autoload warn,1,1,2024
50767,Fix calculation of SQL runtime,closed,2024-01-16 15:26:53+00:00,2024-01-16 16:21:05+00:00,rporrasluc,['activerecord'],pull request creat seem introduc bug notif time calcul use activesupport process l142 default unit second run rail consol print rubi activesupport put finish start end activesupport l113 propos submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50766,Modernize method missing implementations,closed,2024-01-16 12:03:00+00:00,2024-01-16 12:28:40+00:00,casperisfine,"['actionmailer', 'actionpack', 'activemodel', 'activerecord', 'activesupport', 'railties', 'actionview']",simpler correct sinc keyword argument separ,1,1,2024
50765,Assets Precompile Issue on CircleICi,closed,2024-01-16 06:23:07+00:00,2024-01-16 08:04:50+00:00,raoehtesham03,[],upgrad rail applic run test case circleci abl execut line stylesheettag mailer howev everyth work fine local stylesheettag mailer actionview error stringmap expect string key relat asset precompil circleci pleas help figur get error rake asset precompil rake abort execj error stringmap expect string key,1,1,2024
50764,Handle nil backtrace_locations in SyntaxErrorProxy,closed,2024-01-16 01:52:00+00:00,2024-01-16 14:20:13+00:00,eugeneius,"['actionpack', 'activesupport']",initi new block wrappedfor block call block tag tag tag call call call call block call call block,1,1,2024
50763,Allow custom domain extractor class on ActionDispatch::Http::URL,open,2024-01-15 23:32:04+00:00,,rainerborene,['actionpack'],last year use monkey patch compani smartli detect domain subdomain accord gem ecosystem like publicsuffix http option pull request chang allow develop specifi custom domain extractor class realli use saa compani offer custom domain subdomain,0,1,2024
50762,Document some ActionText methods [ci-skip],closed,2024-01-15 21:22:33+00:00,2024-01-25 19:57:58+00:00,p8,['actiontext'],submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,0,1,2024
50761,Improve documentation of ActiveRecord::Core.configurations,open,2024-01-15 21:18:15+00:00,,p8,['activerecord'],documen like document getter instead setter describ return argument expect chang move document setter getter add new comment setter commit 2 separ commit make sure diff appli document code submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,0,1,2024
50760,ActiveRecord::Delegation leaks scope to inner queries on the same model,closed,2024-01-15 21:07:43+00:00,2024-01-15 21:15:35+00:00,jaynetics,[],rubi def activerecord end end birthfindd user end inner queri mix inner queri relat add new helper defin method instead helper make obviou whether scope appli,0,1,2024
50759,Migrate Rails API doc to use Markdown instead of RDoc format,open,2024-01-15 21:02:56+00:00,,rafaelfranca,[],time time rememb document method rail use denot method name argument sometim need chang order document also sometim receiv pr peopl accident introduc backtick effect document guid also use markdown syntax contributor need know need chang syntax writ document text editor like vscode know highlight rdoc code often see rail document format like hover class img 802 screenshot 4 01 03 pm http img 810 screenshot 4 02 00 pm http nowaday rdoc support markdown syntax avoid problem migrat api document use markdown,0,1,2024
50758,Eagerly load preview images (N+1),closed,2024-01-15 19:03:14+00:00,2024-01-16 18:44:11+00:00,tenderlove,"['railties', 'activestorage']",attach like video gener represent creat previewattach instead normal variant result includ scope add preview imag attach scope avoid iter collect attach fetch key represent variant fix 50560,0,1,2024
50757,"Make `schema_dump`, `query_cache`, `replica` and `database_tasks` configurable via `DATABASE_URL`",closed,2024-01-15 14:52:26+00:00,2024-01-15 14:57:34+00:00,casperisfine,['activerecord'],fix http went bit farther handl boolean config mscoutermarsh,0,1,2024
50756,Update the screenshot in the section 8.4 of Getting Started with Rails [ci skip],closed,2024-01-15 12:52:53+00:00,2024-01-17 09:11:48+00:00,Angy-h,['docs'],follow get start guid http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex fix changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,0,1,2024
50755,Action Mailbox mistakes attachment as body if no body exists,open,2024-01-15 08:23:19+00:00,,HashNotAdam,['actionmailbox'],set mailbox process dmarc report work fine case seem sometim googl includ bodi text zip xml file attach happen action mailbox decod base64 encod attach assign string represent binari data bodi messag without ad file attach notic email also recognis multipart creat copi eml file store activ storag bodi messag includ base64 encod attach 1 attach repres zip file call underli return string represent binari data unzip return xml eml file open email client would present attach,0,1,2024
50754,Allow named variants to evaluate dynamic transformation options,open,2024-01-15 01:18:24+00:00,,xjunior,['activestorage'],sometim want build transform base user input inform persist databas add watermark pictur crop base user input pr allow transform built base user input rubi class user applicationrecord hasattach photo default crop cropposit resizelimit 100 100 end def cropx1 cropx2 end end submit pr make sure follow check,0,1,2024
50753,removes deprecated yarn check in bin/setup,closed,2024-01-14 21:56:05+00:00,2024-01-15 18:50:20+00:00,adrienpoly,['railties'],run fresh rail instal got bunch warn command dig bit pull request creat appear command deprec remov pull request chang gener replac system yarn check system yarn instal recommend command system yarn instal submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,6,1,2024
50752,Re-word #49856 CHANGELOG entry [ci skip],closed,2024-01-14 20:20:28+00:00,2024-01-15 09:55:49+00:00,seanpdoyle,['actionview'],49856 replac shell word expans full english addit chang elabor chang detail explan 49856 http,6,1,2024
50751,Add silenced? for Action View Start subscriber,closed,2024-01-14 16:27:43+00:00,2024-01-16 11:37:15+00:00,skipkayhil,['actionview'],ref 45796 previous event would alway handl subscrib even log level subscrib result noth log regular could use optim case start subscrib subclass commit implement method start subscrib also benefit optim submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,6,1,2024
50750,Backport: Remove codespell step from CI,closed,2024-01-14 14:35:17+00:00,2024-01-15 18:52:43+00:00,akhilgkrishnan,[],backport http note lint use check codespel complet remov zzak,6,1,2024
50749,Fix typo in ActiveSupport changelog,closed,2024-01-14 13:20:40+00:00,2024-01-14 16:31:12+00:00,Earlopain,['activesupport'],backport well http cc 907th 50292 contain merg yet,6,1,2024
50748,`ActiveRecord#attributes` is affected immediately after migration,closed,2024-01-14 07:38:28+00:00,2024-01-14 16:19:07+00:00,sinsoku,[],columnstringsourc github http repo gem rail gem sqlite3 end requir activeconnect adapt sqlite3 databas memori activerecord stdout activerecord createcolumn post titl string end end class post activerecord end class bugtest minitest def testattribut post1 assertnam return column inform migrat assertequ id id failur bugtest testattribut expect id 1 actual id 1 titl nil end end think attribut method return hash match inform migrat similar allow use attribut safe roll deploy rubi code cool,6,1,2024
50747,Remove python setup from CI,closed,2024-01-14 05:03:01+00:00,2024-01-14 07:53:13+00:00,akhilgkrishnan,[],recent remov codespel ci http python configur run codespel,6,1,2024
50746,Backport: Remove codespell step from CI from 7-1-stable,closed,2024-01-14 04:54:32+00:00,2024-01-14 07:53:02+00:00,akhilgkrishnan,[],backport http,6,1,2024
50745,Allow `schema_dump` database config to be set via DATABASE_URL,closed,2024-01-13 20:59:48+00:00,2024-01-15 14:57:35+00:00,mscoutermarsh,['activerecord'],schemaurl fals valu work come string chang allow schemaurl origin pr http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,5,1,2024
50744,docs: Update FormHelper comments to use `form_with` instead of `form_for` [ci skip],open,2024-01-13 17:32:39+00:00,,takatea,['actionview'],pull request creat comment refer deprec could potenti caus confus develop consult rail api document pull request chang comment replac instanc rail guid alreadi document usag formhelp page http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,5,1,2024
50743,Remove `t.verbose = true` from Rake test tasks,closed,2024-01-13 14:34:14+00:00,2024-01-14 08:48:53+00:00,dorianmarie,"['actionmailer', 'actionpack', 'activemodel', 'activerecord', 'activesupport', 'railties', 'actionview', 'activejob', 'actioncable', 'activestorage', 'actionmailbox', 'actiontext']",exampl output gener lib,5,1,2024
50742,Fix IPAddr prefix information missing when write to cache in msgpack serializer,closed,2024-01-13 13:24:04+00:00,2024-01-15 06:54:09+00:00,r-plus,['activesupport'],pull request creat notic msgpack serial miss prefix netmask data ipaddr object dump pull request fix miss prefix netmask data ipaddr object dump msgpack serial miss prefix netmask data msgpack serial rubi irb main serial activesupport irb main ipaddr ipaddr instanc equal assert accur assert data reason use test rubi true irb main fals submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,5,1,2024
50741,Fix failing test due to active_model not loading,closed,2024-01-13 12:31:34+00:00,2024-01-20 05:39:06+00:00,koya1616,['activerecord'],pull request creat faill test vscode main run test time requir activequot block 2 level class selectmanagertest mayb test fail submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,5,1,2024
50740,Fix $LOAD_PATH to correctly require files,closed,2024-01-13 12:17:26+00:00,2024-01-15 18:32:55+00:00,dorianmarie,[],would get error like loaderror load file loaderror load instal rail gem current subdirectori reproduc fix 50739,5,1,2024
50739,"rails/rails is dependent on yard, rails and sdoc",closed,2024-01-13 10:03:33+00:00,2024-01-15 18:32:30+00:00,dorianmarie,[],git clone git clone remot enumer object 859917 done remot count object 100 done remot compress object 100 done remot total 859917 delta 332 reus 468 delta 252 859331 receiv object 100 mib done resolv delta 100 done cd bundl clean forc remov actionc remov actionmailbox remov actionmail remov actionpack remov actiontext remov actionview remov activejob remov activemodel remov activerecord remov activestorag remov activesupport remov rail remov railti remov sdoc remov yard bundl bundl complet 84 gemfil depend 221 gem instal use see bundl gem instal rake rake abort loaderror load file loaderror intern requir intern requir top requir intern requir intern requir top requir see full trace run task trace run test depend yard rail sdoc instal commit 4fb230d2140054f8d0114c2c8dcc659af10a7972 head main author xavier noria fxn date fri jan 12 2024 rubi revis 5124f9ac75,5,1,2024
50738,Improve `after_enqueue` example,closed,2024-01-12 22:20:59+00:00,2024-01-12 22:25:08+00:00,Mangara,['activejob'],pull request creat current exampl suggest call enqueu success alway true pull request chang exampl highlight ad rail submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50737,Optimize TagBuilder tag generation,closed,2024-01-12 21:17:07+00:00,2024-01-18 18:19:27+00:00,skipkayhil,['actionview'],current 35 differ tag gener use tag gener pass posit argument commit optim reduc differ 13 first chang perform less hash alloc splat option twice one invoc one move benchmark requir actionbuild href foo end rubi revis e51014f9c0 warm tag tagbuild comparison tag tagbuild calcul tag tagbuild slower,4,1,2024
50736,Add examples to #slice and #values_at documentation [ci-skip] (#50679),closed,2024-01-12 19:53:51+00:00,2024-01-12 19:53:58+00:00,p8,"['activemodel', 'activerecord']",,4,1,2024
